รหัสวิชา,ชื่อวิชา (ภาษาไทย),ชื่อวิชา (ภาษาอังกฤษ),กลุ่มเรียน,หน่วยกิต,สภาพวิชา
04-061-209,สถาปัตยกรรมคอมพิวเตอร์และระบบ 1,Computer Architecture and Organization 1,ECP2N,2(2-0-4),
04-061-309,ระบบปฏิบัติการ,Operating System,ECP3N,3 (3-0-6),
